business_class,description,is_load_business_class,single_or_multiple,load_family_root,family_root_base,family_root_base_exists_as_business_class,load_variant_base,variant_root_exists_as_business_class,naming_pattern,is_exact_variant_base,relationship_role,grouping_method,family_member_count,family_root_base_count,variant_bases_csv,related_members_csv,related_business_classes_csv
AM330AsaOut,The AM330AsaOut Raw Data Web Service contains operations that expose AM330AsaOut-related data in the Infor Enterprise Business Services.,N,non_load,,,,,,,,,non_load,0,0,,,
AM330AsbOut,The AM330AsbOut Raw Data Web Service contains operations that expose AM330AsbOut-related data in the Infor Enterprise Business Services.,N,non_load,,,,,,,,,non_load,0,0,,,
AM330AsdOut,The AM330AsdOut Raw Data Web Service contains operations that expose AM330AsdOut-related data in the Infor Enterprise Business Services.,N,non_load,,,,,,,,,non_load,0,0,,,
AM330AsiOut,The AM330AsiOut Raw Data Web Service contains operations that expose AM330AsiOut-related data in the Infor Enterprise Business Services.,N,non_load,,,,,,,,,non_load,0,0,,,
AM330AsrOut,The AM330AsrOut Raw Data Web Service contains operations that expose AM330AsrOut-related data in the Infor Enterprise Business Services.,N,non_load,,,,,,,,,non_load,0,0,,,
AM330AstOut,The AM330AstOut Raw Data Web Service contains operations that expose AM330AstOut-related data in the Infor Enterprise Business Services.,N,non_load,,,,,,,,,non_load,0,0,,,
AM330AtfOut,The AM330AtfOut Raw Data Web Service contains operations that expose AM330AtfOut-related data in the Infor Enterprise Business Services.,N,non_load,,,,,,,,,non_load,0,0,,,
AM330CmtOut,The AM330CmtOut Raw Data Web Service contains operations that expose AM330CmtOut-related data in the Infor Enterprise Business Services.,N,non_load,,,,,,,,,non_load,0,0,,,
AM330ItrOut,The AM330ItrOut Raw Data Web Service contains operations that expose AM330ItrOut-related data in the Infor Enterprise Business Services.,N,non_load,,,,,,,,,non_load,0,0,,,
AM330MxtOut,The AM330MxtOut Raw Data Web Service contains operations that expose AM330MxtOut-related data in the Infor Enterprise Business Services.,N,non_load,,,,,,,,,non_load,0,0,,,
AM330PuhOut,The AM330PuhOut Raw Data Web Service contains operations that expose AM330PuhOut-related data in the Infor Enterprise Business Services.,N,non_load,,,,,,,,,non_load,0,0,,,
